20183809,fn-Nhfh,ln-Jzdn,2008-11-03,C501,4.19
20183443,fn-Lncovfy,ln-Aqr,2004-05-14,C104,1.46
20203600,fn-Turzriwza,ln-Smhlpacihq,2005-02-09,C401,4.62
20183899,fn-Onuufj,ln-Kehwyhp,2008-05-04,C303,3.40
20184718,fn-Ica,ln-Vxuywevf,1990-06-12,C305,0.82
20204836,fn-Sxdyxmf,ln-Lgzaatkgx,1990-12-27,C402,1.02
20184212,fn-Cdyh,ln-Qetuhre,2000-11-12,C401,0.65
20183670,fn-Wwthyqjn,ln-Abtkr,1999-08-31,C101,4.62
20183786,fn-Geiausvo,ln-Wibfyid,2004-08-27,C505,1.74
20204088,fn-Axv,ln-Gpuvpsqnyj,1995-09-12,C101,1.13
20204647,fn-Cmwufqabcs,ln-Mbaizi,1997-03-09,C101,4.61
20203873,fn-Zblsrswj,ln-Wjpfxshid,1993-04-07,C501,1.59
20183878,fn-Ocrljpack,ln-Eycvn,1996-09-18,C302,3.42
20194599,fn-Afp,ln-Kcvxityy,2001-09-05,C102,1.63
20193670,fn-Snctso,ln-Isfpdoxed,2004-12-12,C503,0.16
20184734,fn-Luakwerdiz,ln-Bfzz,1994-12-11,C302,2.79
20204386,fn-Vaiaflcnjh,ln-Ecrqqxnbfy,1995-09-28,C302,0.36
20204127,fn-Vkrhivime,ln-Olmwgvvb,1996-06-06,C103,3.86
20184280,fn-Morjwhsgda,ln-Gngcmtei,1993-12-11,C405,4.06
20194360,fn-Yiz,ln-Mxxlayw,1998-06-26,C503,4.51
20183783,fn-Czv,ln-Hahe,1993-12-20,C203,4.65
20193570,fn-Yrhekz,ln-Miez,1992-06-01,C205,0.37
20194094,fn-Eyfgo,ln-Ifkpcvq,1992-10-29,C404,1.14
20183685,fn-Pvqifhwxcu,ln-Ypt,1992-03-07,C204,1.51
20184414,fn-Biyil,ln-Gge,1992-12-30,C403,0.32
20184438,fn-Fexvislrl,ln-Oiksxdktvw,2002-12-20,C401,2.00
20204268,fn-Rfdbpgmley,ln-Judx,2007-02-09,C203,4.54
20193668,fn-Trrrkkkds,ln-Vgsizoz,2004-06-18,C402,4.59
20183681,fn-Sxet,ln-Ywjggs,1992-03-28,C304,1.73
20193801,fn-Cwbsz,ln-Wkhfxkdg,2002-06-26,C203,4.51
20193639,fn-Idpqvjlbtb,ln-Tucjsajqx,1991-02-30,C103,1.15
20204245,fn-Qrykttdo,ln-Ekq,1999-12-22,C202,3.27
20194801,fn-Vdwzmy,ln-Syncjwz,2002-03-05,C303,3.73
